MetricID,Core,Dead,Abstract,Atomic,PC,Equal
1,false,false,none,none,false,false
2,false,false,none,none,true,false
3,false,false,none,features,false,false
4,false,false,none,features,true,false
5,false,false,none,literals,false,false
6,false,false,none,literals,true,false
7,false,false,abstrakt,none,false,false
8,false,false,abstrakt,none,true,false
9,false,false,abstrakt,features,false,false
10,false,false,abstrakt,features,true,false
11,false,false,abstrakt,literals,false,false
12,false,false,abstrakt,literals,true,false
13,false,false,concrete,none,false,false
14,false,false,concrete,none,true,false
15,false,false,concrete,features,false,false
16,false,false,concrete,features,true,false
17,false,false,concrete,literals,false,false
18,false,false,concrete,literals,true,false
19,false,true,none,none,false,false
20,false,true,none,none,true,false
21,false,true,none,features,false,false
22,false,true,none,features,true,false
23,false,true,none,literals,false,false
24,false,true,none,literals,true,false
25,false,true,abstrakt,none,false,false
26,false,true,abstrakt,none,true,false
27,false,true,abstrakt,features,false,false
28,false,true,abstrakt,features,true,false
29,false,true,abstrakt,literals,false,false
30,false,true,abstrakt,literals,true,false
31,false,true,concrete,none,false,false
32,false,true,concrete,none,true,false
33,false,true,concrete,features,false,false
34,false,true,concrete,features,true,false
35,false,true,concrete,literals,false,false
36,false,true,concrete,literals,true,false
37,true,false,none,none,false,false
38,true,false,none,none,true,false
39,true,false,none,features,false,false
40,true,false,none,features,true,false
41,true,false,none,literals,false,false
42,true,false,none,literals,true,false
43,true,false,abstrakt,none,false,false
44,true,false,abstrakt,none,true,false
45,true,false,abstrakt,features,false,false
46,true,false,abstrakt,features,true,false
47,true,false,abstrakt,literals,false,false
48,true,false,abstrakt,literals,true,false
49,true,false,concrete,none,false,false
50,true,false,concrete,none,true,false
51,true,false,concrete,features,false,false
52,true,false,concrete,features,true,false
53,true,false,concrete,literals,false,false
54,true,false,concrete,literals,true,false
55,true,true,none,none,false,false
56,true,true,none,none,true,false
57,true,true,none,features,false,false
58,true,true,none,features,true,false
59,true,true,none,literals,false,false
60,true,true,none,literals,true,false
61,true,true,abstrakt,none,false,false
62,true,true,abstrakt,none,true,false
63,true,true,abstrakt,features,false,false
64,true,true,abstrakt,features,true,false
65,true,true,abstrakt,literals,false,false
66,true,true,abstrakt,literals,true,false
67,true,true,concrete,none,false,false
68,true,true,concrete,none,true,false
69,true,true,concrete,features,false,false
70,true,true,concrete,features,true,false
71,true,true,concrete,literals,false,false
72,true,true,concrete,literals,true,false
