ID;Group;CONFIG_CONFIG_DF;CONFIG_CONFIG_DF_PEDANTIC;CONFIG_CONFIG_TOYSH_TTY;CONFIG_CONFIG_TOYSH_PROFILE;CONFIG_CONFIG_TOYSH_ENVVARS;CONFIG_CONFIG_TOYSH_LOCALS;CONFIG_CONFIG_TOYSH_BUILTINS;CONFIG_CONFIG_TOYSH;CONFIG_CONFIG_TOYSH_JOBCTL;CONFIG_CONFIG_TOYSH_ARRAYS;CONFIG_CONFIG_TOYSH_PIPES;CONFIG_CONFIG_TOYSH_QUOTES;CONFIG_CONFIG_TOYSH_WILDCARDS;CONFIG_CONFIG_TOYSH_PROCARGS;CONFIG_CONFIG_TOYSH_FLOWCTL;CONFIG_CONFIG_TOYS_FREE
0;0;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0
10;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0
11;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0
12;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0
13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0
14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0
15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-
